MID,MERCHANT DBA NAME,STATUS EDC,OPENDATE,MSO,SOURCE CODE,POS1
201169232,TK EVEREST LAUNDRY MBL   ,02,9/24/2018,A13,                  ,001
201169257,RAJA OLOAN 2 MBL         ,02,9/25/2018,A27,                  ,001
201169265,CHANDRA MOTOR MDN MBL    ,02,9/24/2018,A11,                  ,001
201169299,OPTIK SIBERO MBL         ,02,9/25/2018,A09,                  ,001
201169315,NOEM CAFE & GALLERY MBL  ,02,9/25/2018,A09,                  ,001
201169323,RADITI BOUTIQUE MBL      ,02,9/25/2018,A09,                  ,001
201169331,SR PONSEL MBL            ,02,9/25/2018,A09,                  ,001
201169349,TK AULIA FASHION MBL     ,02,9/24/2018,A14,                  ,001
201169356,BROTHER Z MDN MBL        ,02,9/27/2018,A31,                  ,001
201169364,EXPO CELLULAR RTP MBL    ,02,9/25/2018,A20,                  ,001
201169372,DICKY COLLECTION MDN MBL ,02,9/25/2018,A24,                  ,001
201169398,CAHAYA PAKAN TTI MBL     ,02,9/25/2018,A24,                  ,001
201169406,SWEET ROOM TEBING MBL    ,02,9/25/2018,A24,                  ,001
201169414,TOKO AUTO VARIASI MBL    ,02,9/24/2018,A20,                  ,001
201169422,GUDANG FURNITURE MBL     ,02,9/25/2018,A04,                  ,001
201169430,SUKSES ELEKTRONIK MBL    ,02,9/25/2018,A04,                  ,001
201169448,TOKO NUR AFNI TANJUNG MBL,02,9/27/2018,A20,                  ,001
201169455,TK CENTRAL ELEKTRIK MBL  ,02,9/25/2018,A13,                  ,001
201169463,TK THOUSANDS GOOD MBL    ,02,9/25/2018,A13,                  ,001
201169497,BM POWER MBL             ,02,9/25/2018,A11,                  ,001
201169505,ARON SAUDARA SWALAYAN MBL,02,9/25/2018,A14,                  ,001
201169513,SARDIFA TOURS & TRAVEL MB,02,9/25/2018,A14,                  ,001
201169521,SPBU 14.201.126 MDN MBL  ,02,9/25/2018,A14,                  ,002
201169539,MAROON ARABICA GAYO COFFE,02,9/27/2018,A14,                  ,001
201169547,KUBANG INDAH TOYS PSP MBL,02,9/25/2018,A11,                  ,001
201169554,BOTOT HARAPAN HASIBUAN MB,02,9/27/2018,A31,                  ,001
201169562,TOKO RANDY FASHION MBL   ,02,9/25/2018,A13,                  ,001
201169588,RAHMAN PONSEL MBL        ,02,9/25/2018,A11,                  ,001
201169596,SMART MAN DISTRO MBL     ,01,9/25/2018,A20,                  ,001
201169604,STROWBERRY KID'S MBL     ,02,9/25/2018,A26,                  ,001
201169612,MANDIRI TRAVEL & TOUR MBL,02,9/25/2018,A26,                  ,001
201169620,MADINAH MBL              ,02,9/25/2018,A26,                  ,001
201169638,RM. KHAS ACEH RAYEUK MBL ,02,9/25/2018,A26,                  ,001
201169646,AL FARIZ CELLULAR MBL    ,02,9/25/2018,A26,                  ,001
201169661,SAQINA SWLYN K SMPG MBL  ,02,9/27/2018,A13,                  ,001
201169679,3R BOUTIQUE MBL          ,02,9/26/2018,A20,                  ,002
201169687,TOKO SEPEDA RAHMAN MBL   ,02,9/26/2018,A11,                  ,001
201169711,PT.PRIMA INDONESIA LOGIST,02,9/26/2018,A27,                  ,002
201169737,TOKO BERKAH SEJAHTERA SEL,02,9/26/2018,A04,                  ,001
201169745,HADI TK MAS & PERMATA MBL,02,9/26/2018,A04,                  ,001
201169752,TOKO MAS PUTRI DELI MBL  ,02,9/26/2018,A09,                  ,001
201169760,OP KERAMIK & SANITARY MBL,02,9/26/2018,A09,                  ,001
201169778,EN GEDI ANIMAL CARE VETER,02,9/26/2018,A09,                  ,001
201169794,CV.RIZKI FAKHIRA SEJAHTER,02,9/26/2018,A27,                  ,001
201169802,TK RANGKANG KUPI MBL     ,02,9/26/2018,A13,                  ,001
201169810,RATU KEBAYA MBL          ,02,9/26/2018,A27,                  ,001
201169828,TOKO BILBARA SPORT MBL   ,02,9/26/2018,A27,                  ,001
201169836,VALEN MOTOR MBO MBL      ,02,9/26/2018,A27,                  ,002
201169844,UD. RAHMAD T.TUAN MBL    ,02,9/27/2018,A31,                  ,001
201169869,THE BALLE SHOPPE MDN MBL ,02,9/27/2018,A29,                  ,001
201169877,F & F YELLOW SHOP MBL    ,02,9/27/2018,A29,                  ,001
201169885,FUJI EXPRESS MBL         ,02,9/27/2018,A09,                  ,001
201169893,RATU PONSEL MBL          ,02,9/27/2018,A09,                  ,001
201169901,SARI MAJU MBL            ,02,9/27/2018,A09,                  ,001
201169919,YAMAN COY DUA MBL        ,02,9/27/2018,A09,                  ,001
201169927,MANDIRI JAYA MBL         ,02,9/27/2018,A09,                  ,001
201169935,YAMAN COY MBL            ,02,9/27/2018,A09,                  ,001
201169943,NOTARIS DAN PPAT HERI DIA,02,9/27/2018,A09,                  ,001
201169950,UCIK MOBIL PERKASA MBL   ,02,9/27/2018,A09,                  ,001
201169968,SINAR INDAH MBL          ,02,9/27/2018,A09,                  ,001
201169976,SEHATI MBL               ,02,9/27/2018,A09,                  ,001
201169984,BARO CHI BUKA MBL        ,02,9/27/2018,A09,                  ,001
201169992,MUTIARA MOBIL MBL        ,02,9/27/2018,A09,                  ,001
201170008,CITRA JAYA MOBIL MBL     ,02,9/27/2018,A09,                  ,001
202103016,AYAM PENYET JAKARTA TARAN,02,9/26/2018,O02,                  ,001
202104626,DARA BIRRA MBL           ,01,9/25/2018,B21,                  ,001
202104824,HANGTUAH MANDIRI MBL     ,02,9/25/2018,B57,                  ,001
202105003,CLASSIC CELL MBL         ,02,9/25/2018,B41,                  ,001
202105011,TB SURYA BANGUNAN MBL    ,02,9/25/2018,B41,                  ,001
202105029,TB SUMBER JAYA KERAMINDO ,02,9/25/2018,B41,                  ,001
202105094,REEF VARIASI MBL         ,02,9/25/2018,B41,                  ,001
202105250,JAYA SPORT MBL           ,02,9/25/2018,B40,                  ,001
202105276,BUNGA RINJANI MBL        ,02,9/25/2018,B57,                  ,001
202105417,CERRI CAR WASH MBL       ,02,9/25/2018,B28,                  ,001
202105425,TK MAS H DAMRAH MBL      ,02,9/25/2018,B28,                  ,001
202105433,FARIDA MBL               ,02,9/25/2018,B28,                  ,001
202105441,DIAMOND CELL MBL         ,02,9/27/2018,B28,                  ,001
202105458,ISTANA HIJAB MBL         ,02,9/25/2018,B28,                  ,001
202105466,HAIKAL MART MBL          ,02,9/25/2018,B28,                  ,001
202105474,SKATERS MBL              ,02,9/25/2018,B28,                  ,001
202105482,TK MAS MAHKOTA  MBL      ,02,9/25/2018,B28,                  ,001
202105490,GREEN HILL HOTEL MBL     ,02,9/25/2018,B28,                  ,001
202105508,TK MAS MAHKOTA RIYAN MBL ,02,9/25/2018,B28,                  ,001
202105532,IZIL COLLECTION MBL      ,02,9/27/2018,B28,                  ,001
202105540,ALWAFA MBL               ,02,9/25/2018,B28,                  ,001
202105557,BATIK ABHIMATA MBL       ,02,9/25/2018,B28,                  ,001
202105565,WISMA MENTARI MBL        ,02,9/27/2018,B28,                  ,001
202105599,TOKO KAROLIN.S MBL       ,02,9/26/2018,B57,                  ,001
202105607,AMERICAN GIANT MATTERSS M,02,9/25/2018,B57,                  ,001
202105615,KEDAI KOPI SULI MBL      ,02,9/25/2018,B57,                  ,001
202105631,MARCOPOLO HOME STAY MBL  ,02,9/26/2018,B28,                  ,001
202105698,SR12 BEAUTY CARE MBL     ,02,9/27/2018,B40,                  ,001
202105714,ACIAK MART 88 MBL        ,02,9/27/2018,B40,                  ,002
202105722,CITRA SWALAYAN MBL       ,02,9/26/2018,B40,                  ,002
202105763,TK MAS PERMATA DUNIA MBL ,02,9/25/2018,B37,                  ,001
202105771,RAGHIB CELL MBL          ,02,9/25/2018,B37,                  ,001
202105789,WARNA WARNI PONSEL MBL   ,02,9/25/2018,B37,                  ,001
202105797,DINI PONSEL MBL          ,02,9/25/2018,B37,                  ,001
202105805,CAHAYA MART MBL          ,02,9/26/2018,B37,                  ,001
202105813,AMAZONE MOTOR MBL        ,02,9/26/2018,B37,                  ,001
202105821,PRAKTEK DR AZKI FUADI MBL,02,9/26/2018,B37,                  ,001
202105839,SARANA TEKNIK MBL        ,02,9/25/2018,B37,                  ,001
202105847,TOKO 888 MBL             ,02,9/27/2018,B21,                  ,001
202105862,DR.SEPATUKU A.AHMAD MBL  ,02,9/26/2018,B21,                  ,001
202105870,DR.SEPATUKU PAUS MBL     ,02,9/26/2018,B21,                  ,001
202105888,DR.SEPATUKU NANGKA MBL   ,02,9/26/2018,B21,                  ,001
202105896,DR.SEPATUKU PANAM MBL    ,02,9/26/2018,B21,                  ,001
202105904,CITRA SWALAYAN KURANJI MB,02,9/26/2018,B40,                  ,001
202105912,CITRA SWALAYAN BELIMBING ,02,9/26/2018,B40,                  ,001
202105920,CITRA SWALAYAN PASAMAN MB,02,9/26/2018,B40,                  ,001
202105946,ACIAK MART 3 MBL         ,02,9/27/2018,B40,                  ,001
202105953,PONDOK IKAN NELAYAN MBL  ,02,9/25/2018,B37,                  ,001
202105961,CITRA SWALAYAN KALUMBUK M,02,9/26/2018,B40,                  ,001
202105987,TOPCOAT MBL              ,02,9/27/2018,B37,                  ,001
202106001,M.CAESAR MBL             ,02,9/27/2018,B28,                  ,001
202106043,HALTE CELL MBL           ,02,9/26/2018,B28,                  ,001
202106605,BUBBLE N ME MBL          ,02,9/25/2018,B50,                  ,001
202106639,SURAU QUR'AN CENTER MBL  ,02,9/26/2018,B40,                  ,001
202106811,KING KOMP MBL            ,02,9/26/2018,B37,                  ,001
202107819,TOKO RAZIQ MBL           ,02,9/25/2018,B21,                  ,001
202109104,SAMSUNG MBL              ,02,9/25/2018,B43,                  ,001
203158571,SINAR ELEKTRONIK MBL     ,02,9/28/2018,C39,                  ,001
203158662,JUSTIN JAYA CELL MBL     ,02,9/25/2018,C04,                  ,001
203158688,NORMA LOUNDRY MBL        ,01,9/24/2018,C35,                  ,001
203158779,PANCA JATI JEPARA MBL    ,01,9/24/2018,C35,                  ,001
203159025,TOKO ABD MAJID MBL       ,02,9/28/2018,C03,                  ,001
203159181,FAVORITE FASHION MBL     ,01,9/24/2018,C04,                  ,001
203159264,RUMAH BEKAM MBL          ,02,9/28/2018,C34,                  ,001
203159363,PUJI OPTIKAL MBL         ,02,9/28/2018,C04,                  ,001
203159371,HALIM TEKNIK MBL         ,02,9/26/2018,C04,                  ,001
203159389,PARIJS VAN JAVA MBL      ,02,9/24/2018,C53,                  ,001
203159397,HOTEL GRAND PUTRI MBL    ,01,9/24/2018,C53,                  ,001
203159405,NOERHIJAB STORE MBL      ,02,9/24/2018,C53,                  ,001
203159413,JAYA INDAH COLLEC MBL    ,01,9/24/2018,C35,                  ,001
203159421,TB TIGA SAUDARA MBL      ,01,9/24/2018,C35,                  ,001
203159439,ZELLINDA MBL             ,02,9/25/2018,C35,                  ,001
203159447,AKABAY MBL               ,02,9/24/2018,C39,                  ,001
203159454,AN NAHL MBL              ,02,9/25/2018,C35,                  ,001
203159462,PECEL MBA WID MBL        ,02,9/25/2018,C35,                  ,001
203159470,WARUNG 1001 MBL          ,02,9/28/2018,C04,                  ,001
203159488,OZORA AUTO MBL           ,02,9/25/2018,C04,                  ,001
203159496,LOUNDRY EXCLUSIVE MBL    ,02,9/25/2018,C04,                  ,001
203159504,ZALYA JATI MBL           ,02,9/25/2018,C04,                  ,001
203159520,GRIYA KAIN MBL           ,02,9/25/2018,C04,                  ,001
203159546,TOKO GABY FASHION MBL    ,02,9/28/2018,C04,                  ,001
203159553,SOLUNA FURNITURE MBL     ,02,9/25/2018,C04,                  ,001
203159579,TIARA MBL                ,02,9/25/2018,C04,                  ,001
203159587,PINDANG PONDOK BMBU MBL  ,01,9/25/2018,C04,                  ,001
203159595,TOKO FATIYA MBL          ,01,9/26/2018,C04,                  ,001
203159603,MATA AIR FASHION MBL     ,01,9/26/2018,C04,                  ,001
203159611,ABBAS MBL                ,02,9/26/2018,C04,                  ,001
203159637,DUSRA TEXTILE MBL        ,02,9/26/2018,C04,                  ,001
203159645,KOPI JOLO MBL            ,01,9/24/2018,C34,                  ,001
203159652,KEDAI KOPI KULO MBL      ,02,9/28/2018,C53,                  ,001
203159660,AMIFA MEDICA MBL         ,02,9/24/2018,C53,                  ,001
203159678,ICE CREAM MAHKOTA MBL    ,01,9/24/2018,C34,                  ,001
203159686,RATU CELL MBL            ,02,9/25/2018,C03,                  ,001
203159694,TOKO BUDI MBL            ,02,9/25/2018,C03,                  ,001
203159702,AYAM POROS OPI MBL       ,02,9/25/2018,C03,                  ,001
203159710,BENGKEL BUBUT ADAM MBL   ,02,9/25/2018,C03,                  ,001
203159728,I VEGE MEATLESS MBL      ,02,9/25/2018,C03,                  ,001
203159736,TK MAS SUBUR JAYA MBL    ,02,9/25/2018,C03,                  ,001
203159744,TOKO ADE MBL             ,02,9/25/2018,C03,                  ,001
203159751,TANJUNG INDAH MBL        ,02,9/28/2018,C03,                  ,001
203159769,UNILA MART MBL           ,02,9/25/2018,C39,                  ,001
203159777,TOKO INDAH SARI MBL      ,02,9/25/2018,C04,                  ,001
203159785,TOKO ISTANA PLASTIK MBL  ,02,9/25/2018,C04,                  ,001
203159793,PAWON OMBAY 2 MBL        ,01,9/25/2018,C34,                  ,001
203159801,TB KARYA BERSAMA MBL     ,02,9/25/2018,C04,                  ,001
203159835,TK SEPATU MURAH SKY MBL  ,02,9/25/2018,C04,                  ,001
203159843,KATALLIA SALON MBL       ,02,9/25/2018,C04,                  ,001
203159850,TOKO INTI KARYA MBL      ,02,9/26/2018,C04,                  ,001
203159868,NURUL CELL MBL           ,02,9/26/2018,C04,                  ,001
203159876,BUNAKA MBL               ,02,9/26/2018,C04,                  ,001
203159884,ADIE STYLE SALON MBL     ,02,9/26/2018,C04,                  ,001
203159892,METRO CELL MBL           ,02,9/25/2018,C04,                  ,001
203159900,SEJAHTERA MART MBL       ,02,9/25/2018,C04,                  ,001
203159918,BNB SWISS BELHOTEL MBL   ,02,9/26/2018,C35,                  ,001
203159926,SWISS CAFE HOTEL MBL     ,02,9/26/2018,C35,                  ,001
203159934,FO SWISS BELHOTEL MBL    ,02,9/26/2018,C35,                  ,001
203159942,THE VIEW SWISSHOTEL MBL  ,02,9/26/2018,C35,                  ,001
203159959,PT IMPIAN BKL INDAH      ,02,9/28/2018,C37,                  ,001
203159967,212 MART MAHAKAM MBL     ,02,9/28/2018,C37,                  ,001
203159983,BOUTIQUE QIANNA MBL      ,02,9/28/2018,C37,                  ,001
203160007,KERAMIK INDAH MBL        ,02,9/28/2018,C37,                  ,001
203160023,TALANG 9 MBL             ,02,9/28/2018,C37,                  ,001
203160031,RUMAH BUNGA MBL          ,02,9/28/2018,C37,                  ,001
203160049,KERAPU MBL               ,02,9/28/2018,C37,                  ,001
203160064,TOKO MAS SEPAKAT MBL     ,02,9/28/2018,C36,                  ,001
203160080,WARUNG RETRO CAFE MBL    ,02,9/28/2018,C35,                  ,001
203160098,GENDISH CAR WASH MBL     ,02,9/28/2018,C34,                  ,000
203160114,TOKO FITRI FASHION MBL   ,02,9/28/2018,C34,                  ,001
203160122,IBIZZA LOUGE MBL         ,02,9/28/2018,C34,                  ,001
203160130,KOPI JURAGAN MBL         ,02,9/28/2018,C34,                  ,001
203160148,URBAN DORMITORY MBL      ,02,9/28/2018,C34,                  ,001
203160155,CITRALAND PALEMBANG MBL  ,02,9/28/2018,C53,                  ,001
203160163,TK HENDRY MAKMUR MBL     ,02,9/28/2018,C04,                  ,001
203160171,TERANG JAYA MBL          ,02,9/28/2018,C04,                  ,001
203160205,TOKO EMPAT PUTRI MBL     ,02,9/28/2018,C04,                  ,001
203160213,RIAN CELL MBL            ,02,9/28/2018,C04,                  ,001
203160429,RM PINDANG MBOK DAL MBL  ,02,9/28/2018,C53,                  ,001
204033187,LANGGANAN KITA MBL       ,02,9/26/2018,904,                  ,001
204033195,JM AUDIO MBL             ,02,9/26/2018,904,                  ,001
204056923,RIJASA MOTOR MBL         ,02,9/27/2018,D17,                  ,001
204058259,BANDOENG SHOP MBL        ,02,9/27/2018,D09,                  ,001
204058267,VIRUZ CELL MBL           ,02,9/27/2018,D09,                  ,001
204058275,HIGHLAND VET MBL         ,02,9/27/2018,D09,                  ,001
204058283,PPA SALON ANA MBL        ,02,9/27/2018,D09,                  ,001
204058291,PB SINGKUP PUTRA MBL     ,02,9/27/2018,D09,                  ,001
204058317,SYIFA CELL MBL           ,02,9/27/2018,D09,                  ,001
204058325,SINAR HELM MBL           ,02,9/27/2018,D09,                  ,001
204058333,AYAM SAWCE MBL           ,02,9/27/2018,D09,                  ,001
204058341,SINAR REJEKI MOTOR MBL   ,02,9/27/2018,D09,                  ,001
204058358,NOTARIS & PPAT ETIC SRIMA,02,9/27/2018,D09,                  ,001
204058366,DS KOMUNIKA 2 MBL        ,02,9/27/2018,D09,                  ,001
204058374,BAKSO ACI MASJAY MBL     ,02,9/27/2018,D09,                  ,001
204058382,MT MART MBL              ,02,9/27/2018,D09,                  ,001
204058390,KOPI BON MBL             ,02,9/27/2018,D09,                  ,001
204058408,3 HOLE STORE MBL         ,02,9/27/2018,D09,                  ,001
204058416,ABADI MOBILE MBL         ,02,9/27/2018,D09,                  ,001
204058473,APOTEK NUSANTARA MBL     ,02,9/27/2018,D09,                  ,001
204058499,RINGTONE CELL 2 MBL      ,02,9/27/2018,D09,                  ,001
204058564,KLINIK 24 JAM MEDIKA TANJ,02,9/27/2018,D22,                  ,001
204058572,SIKI COFFEE GALLERY MBL  ,02,9/27/2018,D11,                  ,001
204058580,HEMART MBL               ,01,9/27/2018,D17,                  ,001
204058598,SAUNG LEMBUR MBL         ,01,9/27/2018,D17,                  ,001
204058606,RM KENCANA MBL           ,02,9/27/2018,D23,                  ,001
204058614,HERTYELIT BATIK MBL      ,02,9/27/2018,D11,                  ,001
204058622,CENTER PRO MBL           ,02,9/27/2018,D17,                  ,001
204058630,YAYASAN KASIH PALESTINA M,02,9/27/2018,D17,                  ,001
204058648,HERMAN AC MBL            ,02,9/27/2018,D17,                  ,001
204058655,TIGA SAUDARA MBL         ,02,9/27/2018,D24,                  ,001
204058663,SNEAKLIN TSM MBL         ,02,9/27/2018,D17,                  ,001
204058671,SNEAKLIN SURYA SUMANTRI M,02,9/27/2018,D17,                  ,001
204058689,DAPUR UNIK MBL           ,02,9/27/2018,D24,                  ,001
204058697,WARUNG MAKAN SAMBAL NUSAN,02,9/27/2018,D22,                  ,001
204058705,JNE AGEN 99-4202-025 MBL ,02,9/27/2018,D11,                  ,001
204058713,GEMARIA MBL              ,01,9/27/2018,D17,                  ,001
204058721,KLINIK UTAMA KARTINI MBL ,01,9/27/2018,D24,                  ,002
204058739,212 MART MBL             ,02,9/27/2018,D23,                  ,001
204058747,DOUBLE D MBL             ,02,9/27/2018,D24,                  ,001
204058754,SPBU 34-40204 GKPRI MBL  ,02,9/27/2018,D24,                  ,003
204058762,RM PADANG SARUMPUN MBL   ,01,9/27/2018,D24,                  ,001
204058770,I LOOK ROOM MBL          ,02,9/27/2018,D22,                  ,001
204058788,BITTER SWEET MBL         ,02,9/27/2018,D24,                  ,001
204058796,ANUGRAH CELL MBL         ,02,9/27/2018,D17,                  ,001
204058804,FITRI SALON & BOUTIQUE MB,02,9/27/2018,D23,                  ,001
204058812,RUCO 45 MBL              ,02,9/27/2018,D24,                  ,001
204058838,GRIYA DAHAR IBU KADI MBL ,02,9/27/2018,D24,                  ,001
204058861,DE KOST MBL              ,02,9/27/2018,D11,                  ,001
204058879,TOKO ARCO MBL            ,02,9/27/2018,D11,                  ,001
204058887,X1 SPEED MBL             ,02,9/27/2018,D11,                  ,001
204058895,RM BUGEL MBL             ,02,9/27/2018,D11,                  ,001
204058903,PONDOK WINANGUN MBL      ,02,9/27/2018,D11,                  ,001
204058911,LA FRESA MBL             ,02,9/27/2018,D17,                  ,001
204058929,LA FRESA 2 MBL           ,02,9/27/2018,D17,                  ,001
204058937,LA FRESA PVJ MBL         ,02,9/27/2018,D17,                  ,001
204058945,LA FRESA KEBUN MBL       ,02,9/27/2018,D17,                  ,001
204058960,DALARAOS MBL             ,02,9/27/2018,D17,                  ,001
204058978,CIQTAL & KAREI MBL       ,02,9/27/2018,D22,                  ,001
204058986,KHITMIR VAPESTORE MBL    ,02,9/27/2018,D23,                  ,001
204058994,JNE AGEN 99-4202-008 MBL ,02,9/27/2018,D11,                  ,001
204059000,KADAKA CAFETARIA MBL     ,02,9/27/2018,D22,                  ,001
204059018,SUKABUMI FLASHER MBL     ,02,9/27/2018,D17,                  ,001
204059026,TOKO SIP MBL             ,02,9/27/2018,D11,                  ,001
204059059,QUELLE AUTOWERKZ MBL     ,02,9/27/2018,D17,                  ,001
204059067,BULAO COFFEE MBL         ,02,9/27/2018,D22,                  ,001
204059109,APOTEK RINDU SEHAT MBL   ,02,9/27/2018,D23,                  ,001
204163307,I SPY CCTV STUDIO MBL    ,02,9/27/2018,D09,                  ,001
204169635,RENAN STORE 2 MBL        ,02,9/22/2018,N02,                  ,001
204169643,TIUNG BANDUNG MBL        ,01,9/27/2018,D24,                  ,001
204169668,BERLIAN ALAM MBL         ,01,9/27/2018,D11,                  ,001
204169676,APOTEK K-24 OTISTA SUBANG,02,9/27/2018,D24,                  ,001
204169684,DAPOER SAMARA & COFFESHOP,02,9/27/2018,D24,                  ,002
204169692,KA RS PTPN VIII MBL      ,02,9/27/2018,D24,                  ,002
204169700,GREEN VALLEY WATERPARK MB,02,9/27/2018,D24,                  ,001
204169718,CLOUDPAY MBL             ,02,9/27/2018,D17,                  ,001
204169726,KAWAN KOPI MBL           ,02,9/27/2018,D17,                  ,001
204169734,CIKAPUNDUNG TERRACE CAFE ,02,9/27/2018,D17,                  ,001
204169742,VEGA CELL MBL            ,02,9/27/2018,D17,                  ,001
204169759,BIAN FROZEN FOOD MBL     ,02,9/27/2018,D11,                  ,001
204169767,AS WANG MBL              ,02,9/27/2018,D11,                  ,001
204169775,TOKO WALISONGO MBL       ,02,9/27/2018,D17,                  ,001
204169783,SEVEN STEREO MBL         ,02,9/27/2018,D22,                  ,001
204169791,B'COF BANDUNG MBL        ,02,9/27/2018,D22,                  ,001
204169809,TOKO BUKU AGUNG MBL      ,02,9/27/2018,D17,                  ,001
